ORIGEM,DESTINO,NECESSIDADE
TAGUATINGA,TAGUATINGA,CRECHE
TAGUATINGA,TAGUATINGA,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
TAGUATINGA,TAGUATINGA,SINALIZAÇÃO URBANA (PLACAS e ETC)
TAGUATINGA,TAGUATINGA,TRANSPORTE PÚBLICO
SAMAMBAIA,TAGUATINGA,EDUCAÇÃO
SAMAMBAIA,TAGUATINGA,SAÚDE
SAMAMBAIA,TAGUATINGA,SEGURANÇA
TAGUATINGA,TAGUATINGA,EDUCAÇÃO
TAGUATINGA,TAGUATINGA,ACESSIBILIDADE
TAGUATINGA,TAGUATINGA,LIMPEZA URBANA
TAGUATINGA,TAGUATINGA,SINALIZAÇÃO URBANA (PLACAS e ETC)
TAGUATINGA,TAGUATINGA,SAÚDE
TAGUATINGA,TAGUATINGA,SEGURANÇA
TAGUATINGA,TAGUATINGA,SAÚDE
TAGUATINGA,TAGUATINGA,EDUCAÇÃO
TAGUATINGA,TAGUATINGA,CRECHE
TAGUATINGA,TAGUATINGA,TRANSPORTE PÚBLICO
TAGUATINGA,TAGUATINGA,SAÚDE
TAGUATINGA,TAGUATINGA,SEGURANÇA
TAGUATINGA,TAGUATINGA,SAÚDE
TAGUATINGA,TAGUATINGA,OUTROS
TAGUATINGA,TAGUATINGA,EDUCAÇÃO
TAGUATINGA,TAGUATINGA,LIMPEZA URBANA
TAGUATINGA,TAGUATINGA,SEGURANÇA
TAGUATINGA,TAGUATINGA,CRECHE
TAGUATINGA,TAGUATINGA,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
TAGUATINGA,TAGUATINGA,LIMPEZA URBANA
TAGUATINGA,TAGUATINGA,SEGURANÇA
SAMAMBAIA,TAGUATINGA,SAÚDE
TAGUATINGA,TAGUATINGA,TRANSPORTE PÚBLICO
TAGUATINGA,TAGUATINGA,SAÚDE
TAGUATINGA,SEM REGISTRO,EDUCAÇÃO
TAGUATINGA,SEM REGISTRO,ACESSIBILIDADE
TAGUATINGA,SEM REGISTRO,ILUMINAÇÃO PÚBLICA
TAGUATINGA,SEM REGISTRO,SINALIZAÇÃO URBANA (PLACAS e ETC)
TAGUATINGA,SEM REGISTRO,TRANSPORTE PÚBLICO
TAGUATINGA,SEM REGISTRO,SAÚDE
TAGUATINGA,SEM REGISTRO,SEGURANÇA
