ORIGEM,DESTINO
TAGUATINGA,TAGUATINGA
SAMAMBAIA,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,TAGUATINGA
SAMAMBAIA,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,NÃO INFORMADO
SAMAMBAIA,TAGUATINGA
TAGUATINGA,TAGUATINGA
CEILÂNDIA,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,TAGUATINGA
ÁGUAS LINDAS,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,TAGUATINGA
PARK WAY,TAGUATINGA
CEILÂNDIA,CEILÂNDIA
ESTRUTURAL,TAGUATINGA
TAGUATINGA,TAGUATINGA
ÁGUAS CLARAS,CEILÂNDIA
M. NORTE,CEILÂNDIA
TAGUATINGA,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,TAGUATINGA
SAMAMBAIA,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,TAGUATINGA
CEILÂNDIA,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,CEILÂNDIA
TAGUATINGA,TAGUATINGA
SANTO ANTÔNIO DO DESCOBERTO,TAGUATINGA
TAGUATINGA,TAGUATINGA
M. NORTE,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,TAGUATINGA
26 DE SETEMBRO,TAGUATINGA
TAGUATINGA,TAGUATINGA
SOL NASCENTE,TAGUATINGA
TAGUATINGA,TAGUATINGA
CEILÂNDIA,TAGUATINGA
BRAZLÂNDIA,TAGUATINGA
SETOR,TAGUATINGA
26 DE SETEMBRO,TAGUATINGA
TAGUATINGA,TAGUATINGA
CEILÂNDIA,TAGUATINGA
TAGUATINGA,TAGUATINGA
SAMAMBAIA,TAGUATINGA
TAGUATINGA,TAGUATINGA
SAMAMBAIA,TAGUATINGA
SAMAMBAIA,TAGUATINGA
CEILÂNDIA,TAGUATINGA
TAGUATINGA,TAGUATINGA
SAMAMBAIA,TAGUATINGA
TAGUATINGA,TAGUATINGA
CEILÂNDIA,TAGUATINGA
CEILÂNDIA,TAGUATINGA
TAGUATINGA,TAGUATINGA
CEILÂNDIA,TAGUATINGA
CEILÂNDIA,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,TAGUATINGA
M. NORTE,TAGUATINGA
GAMA,TAGUATINGA
TAGUATINGA,TAGUATINGA
TAGUATINGA,TAGUATINGA
ÁGUAS LINDAS,TAGUATINGA
ÁGUAS LINDAS,TAGUATINGA
RIACHO FUNDO,TAGUATINGA
SETOR O,TAGUATINGA
ESTRUTURAL,TAGUATINGA
ESTRUTURAL,TAGUATINGA
RECANTO DAS EMAS,TAGUATINGA
TAGUATINGA,TAGUATINGA
CEILÂNDIA,TAGUATINGA
ESTRUTURAL,TAGUATINGA
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VICENTE PIRES
VECENTE PIRES,TAGUATINGA
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VECENTE PIRES
SAMAMBAIA,VECENTE PIRES
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VICENTE PIRES
VECENTE PIRES,VECENTE PIRES
AREAL,VICENTE PIRES
ÁGUAS LINDAS,VICENTE PIRES
VECENTE PIRES,VECENTE PIRES
SAMAMBAIA,VECENTE PIRES
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VICENTE PIRES
VECENTE PIRES,VECENTE PIRES
VICENTE PIRES,VICENTE PIRES
VECENTE PIRES,VICENTE PIRES
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VECENTE PIRES
VECENTE PIRES,VICENTE PIRES
